	CDN002_Vs_CDN001-U34B_Signal	CDN002_Vs_CDN001-U34B_Detection	CDN002_Vs_CDN001-U34B_Detection p-value	CDN002_Vs_CDN001-U34B_Signal Log Ratio	CDN002_Vs_CDN001-U34B_Change	CDN002_Vs_CDN001-U34B_Change p-value	Descriptions
AFFX-CreX-5_at	15725.1	P	0.000044	0.0	NC	0.500000	X03453 Bacteriophage P1 cre recombinase protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-CreX-3_at	23230.6	P	0.000044	0.2	NC	0.500000	X03453 Bacteriophage P1 cre recombinase protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-BioB-5_st	24.8	A	0.699394	0.4	NC	0.500000	J04423 E coli bioB gene biotin synthetase  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-BioB-M_st	79.4	A	0.631562	0.3	NC	0.042672	J04423 E coli bioB gene biotin synthetase  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-BioB-3_st	37.7	A	0.937071	0.4	NC	0.213878	J04423 E coli bioB gene biotin synthetase  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-BioC-5_st	30.1	A	0.953518	0.6	NC	0.123850	J04423 E coli bioC protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-BioC-3_st	17.0	A	0.910522	0.6	NC	0.169958	J04423 E coli bioC protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-BioDn-5_st	199.7	A	0.205732	2.1	NC	0.045170	J04423 E coli bioD gene dethiobiotin synthetase  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-BioDn-3_st	243.4	A	0.131361	2.3	NC	0.233971	J04423 E coli bioD gene dethiobiotin synthetase  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-CreX-5_st	152.8	A	0.165861	1.1	I	0.001361	X03453 Bacteriophage P1 cre recombinase protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-CreX-3_st	193.0	A	0.165861	0.5	NC	0.005327	X03453 Bacteriophage P1 cre recombinase protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-DapX-5_at	40.6	A	0.514890	1.0	I	0.001303	L38424 B subtilis dapB, jojF, jojG genes corresponding to nucleotides 1358-3197 of L38424 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-DapX-M_at	53.5	A	0.574038	-0.1	NC	0.126621	L38424 B subtilis dapB, jojF, jojG genes corresponding to nucleotides 1358-3197 of L38424 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-DapX-3_at	15.1	A	0.949771	0.3	I	0.002189	L38424 B subtilis dapB, jojF, jojG genes corresponding to nucleotides 1358-3197 of L38424 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-LysX-5_at	38.7	A	0.514890	2.3	NC	0.038011	X17013 B subtilis lys gene for diaminopimelate decarboxylase corresponding to nucleotides 350-1345 of X17013  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-LysX-M_at	16.3	A	0.824672	-0.6	NC	0.156704	X17013 B subtilis lys gene for diaminopimelate decarboxylase corresponding to nucleotides 350-1345 of X17013  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-LysX-3_at	35.9	A	0.559354	1.9	MI	0.002589	X17013 B subtilis lys gene for diaminopimelate decarboxylase corresponding to nucleotides 350-1345 of X17013  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-PheX-5_at	8.4	A	0.932322	0.7	NC	0.011156	M24537B subtilis pheB, pheA genes corresponding to nucleotides 2017-3334 of M24537 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-PheX-M_at	23.5	A	0.904333	0.5	NC	0.500000	M24537B subtilis pheB, pheA genes corresponding to nucleotides 2017-3334 of M24537 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-PheX-3_at	29.1	A	0.876428	0.3	NC	0.500000	M24537B subtilis pheB, pheA genes corresponding to nucleotides 2017-3334 of M24537 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-ThrX-5_at	16.7	A	0.978098	0.8	NC	0.500000	X04603 B subtilis thrC, thrB genes corresponding to nucleotides 248-2229 of X04603 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-ThrX-M_at	16.9	A	0.724854	-0.9	NC	0.500000	X04603 B subtilis thrC, thrB genes corresponding to nucleotides 248-2229 of X04603 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-ThrX-3_at	25.1	A	0.949771	0.8	NC	0.378604	X04603 B subtilis thrC, thrB genes corresponding to nucleotides 248-2229 of X04603 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-TrpnX-5_at	25.0	A	0.724854	-1.1	NC	0.500000	K01391 B subtilis TrpE protein, TrpD protein, TrpC protein corresponding to nucleotides 1883-4400 of K01391 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-TrpnX-M_at	16.2	A	0.995516	0.4	NC	0.343386	K01391 B subtilis TrpE protein, TrpD protein, TrpC protein corresponding to nucleotides 1883-4400 of K01391 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-TrpnX-3_at	9.2	A	0.953518	-1.2	NC	0.483917	K01391 B subtilis TrpE protein, TrpD protein, TrpC protein corresponding to nucleotides 1883-4400 of K01391 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX_Rat_GAPDH_5_at	14363.4	P	0.000044	0.1	NC	0.500000	Rattus norvegicus /REF=X02231 /DEF=Rat mRNA for glyceraldehyde-3-phosphate-dehydrogenase (GAPDH) (GAPDH, EC 1.2.1.12) /LEN=1002 (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX_Rat_GAPDH_M_at	16311.6	P	0.000044	0.2	NC	0.500000	Rattus norvegicus /REF=X02231 /DEF=Rat mRNA for glyceraldehyde-3-phosphate-dehydrogenase (GAPDH) (GAPDH, EC 1.2.1.12) /LEN=1002 (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX_Rat_GAPDH_3_at	17813.1	P	0.000297	0.2	NC	0.500000	Rattus norvegicus /REF=X02231 /DEF=Rat mRNA for glyceraldehyde-3-phosphate-dehydrogenase (GAPDH) (GAPDH, EC 1.2.1.12) /LEN=1002 (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX_Rat_Hexokinase_5_at	332.7	P	0.000581	-0.1	NC	0.656614	Rattus norvegicus /REF=J04526 /DEF=brain hexokinase mRNA, complete cds /LEN=2760 (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX_Rat_Hexokinase_M_at	1116.8	P	0.013811	0.2	NC	0.500000	Rattus norvegicus /REF=J04526 /DEF=brain hexokinase mRNA, complete cds /LEN=2760 (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX_Rat_Hexokinase_3_at	864.0	P	0.000060	0.0	NC	0.709215	Rattus norvegicus /REF=J04526 /DEF=brain hexokinase mRNA, complete cds /LEN=2760 (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX_Rat_beta-actin_5_at	7244.0	P	0.000044	0.1	NC	0.500000	Rattus norvegicus /REF=V01217 /DEF=Rat gene encoding cytoplasmic beta-actin /LEN=1128 (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX_Rat_beta-actin_M_at	14620.1	P	0.000052	0.2	NC	0.500000	Rattus norvegicus /REF=V01217 /DEF=Rat gene encoding cytoplasmic beta-actin /LEN=1128 (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX_Rat_beta-actin_3_at	14902.4	P	0.000052	0.1	NC	0.500000	Rattus norvegicus /REF=V01217 /DEF=Rat gene encoding cytoplasmic beta-actin /LEN=1128 (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX_rat_5S_rRNA_at	43.4	A	0.843268	0.2	NC	0.595588	Rattus norvegicus /REF=X83747 /DEF=R.norvegicus 5S rRNA gene (clone pRA5S2) /LEN=121
AFFX_Rat_beta-actin_3_st	49.6	A	0.712257	0.6	NC	0.147222	V01217 Rat gene encoding cytoplasmic beta-actin (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX_ratb1/X12957_at	142.9	A	0.139482	-0.1	NC	0.500000	Rattus norvegicus /REF=X12957 /DEF=Rat DNA for B1 repeat (1-42) from gamma crystallin gene cluster /LEN=150
AFFX_ratb2/X14115_at	200.3	A	0.083592	1.3	NC	0.150339	Rattus norvegicus /REF=X14115 /DEF=Rat DNA for B2 repeat (1-12) from gamma crystallin gene cluster /LEN=187
AFFX_Rat_GAPDH_5_st	103.9	A	0.559354	-0.4	NC	0.846500	X02231 Rat mRNA for glyceraldehyde-3-phosphate-dehydrogenase (GAPDH) (GAPDH, EC 1.2.1.12) (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX_Rat_GAPDH_M_st	67.2	A	0.603080	-1.4	NC	0.500000	X02231 Rat mRNA for glyceraldehyde-3-phosphate-dehydrogenase (GAPDH) (GAPDH, EC 1.2.1.12) (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX_Rat_GAPDH_3_st	72.7	A	0.185131	0.1	NC	0.202321	X02231 Rat mRNA for glyceraldehyde-3-phosphate-dehydrogenase (GAPDH) (GAPDH, EC 1.2.1.12) (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX_Rat_beta-actin_5_st	62.7	A	0.963431	0.7	NC	0.054853	V01217 Rat gene encoding cytoplasmic beta-actin (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX_Rat_beta-actin_M_st	177.2	A	0.275146	1.0	NC	0.081072	V01217 Rat gene encoding cytoplasmic beta-actin (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-YEL002c/WBP1_at	35.3	A	0.883887	-0.1	NC	0.029031	X61388 SGD: YEL002C Yeast S.cerevisiae WBP1 Oligosaccharyltransferase beta subunit
AFFX-YEL018w/_at	13.2	A	0.966323	1.0	NC	0.087300	U18530 SGD:YEL018W Yeast S. cerevisiae Protein of unknown function
AFFX-YEL024w/RIP1_at	98.3	A	0.116113	0.7	NC	0.036913	M23316 SGD:YEL024C Yeast S.cerevisiae RIP1 Rieske iron-sulfur protein of the mitochondrial cytochrome bc1 complex .
AFFX-YEL021w/URA3_at	78.7	A	0.067678	0.2	NC	0.500000	K02207 SGD:YEL021W Yeast S.cerevisiae URA3 gene coding for OMP decarboxylase
rc_AA800978_at	249.1	A	0.117160	-0.4	NC	0.500000	rc_AA800978 EST190475 Rattus norvegicus cDNA, 3  end /clone=RLUAN79 /clone_end=3  /gb=AA800978 /gi=2863933 /ug=Rn.6677 /len=468
rc_AA800980_at	130.2	A	0.795978	1.0	NC	0.170131	rc_AA800980 EST190477 Rattus norvegicus cDNA, 3  end /clone=RLUAN83 /clone_end=3  /gb=AA800980 /gi=2863935 /ug=Rn.6679 /len=449
rc_AA800984_at	48.7	A	0.795978	-0.5	NC	0.659602	rc_AA800984 EST190481 Rattus norvegicus cDNA, 3  end /clone=RLUAN88 /clone_end=3  /gb=AA800984 /gi=2863939 /ug=Rn.22796 /len=435
rc_AA800994_at	172.3	P	0.004863	-0.3	NC	0.988169	rc_AA800994 EST190491 Rattus norvegicus cDNA, 3  end /clone=RMUAA05 /clone_end=3  /gb=AA800994 /gi=2863949 /ug=Rn.20643 /len=489
rc_AA801013_at	163.4	A	0.339558	-0.9	NC	0.971759	rc_AA801013 EST190510 Rattus norvegicus cDNA, 3  end /clone=RMUAA34 /clone_end=3  /gb=AA801013 /gi=2863968 /ug=Rn.11468 /len=412
rc_AA801017_at	85.8	A	0.107301	-2.0	D	0.999563	rc_AA801017 EST190514 Rattus norvegicus cDNA, 3  end /clone=RMUAA43 /clone_end=3  /gb=AA801017 /gi=2863972 /ug=Rn.22797 /len=427
rc_AA801025_at	59.4	A	0.641310	-1.1	NC	0.500000	rc_AA801025 EST190522 Rattus norvegicus cDNA, 3  end /clone=RMUAA57 /clone_end=3  /gb=AA801025 /gi=2863980 /ug=Rn.12981 /len=464
rc_AA801025_g_at	133.8	A	0.267463	-0.5	NC	0.731404	rc_AA801025 EST190522 Rattus norvegicus cDNA, 3  end /clone=RMUAA57 /clone_end=3  /gb=AA801025 /gi=2863980 /ug=Rn.12981 /len=464
rc_AA801046_at	69.4	A	0.397994	-0.4	NC	0.631784	rc_AA801046 EST190543 Rattus norvegicus cDNA, 3  end /clone=RMUAA95 /clone_end=3  /gb=AA801046 /gi=2864001 /ug=Rn.3282 /len=542
rc_AA801114_at	57.7	A	0.660442	1.3	NC	0.522368	rc_AA801114 EST190611 Rattus norvegicus cDNA, 3  end /clone=ROVAA64 /clone_end=3  /gb=AA801114 /gi=2864069 /ug=Rn.6688 /len=331
rc_AA801117_at	82.4	A	0.697453	1.3	NC	0.156309	rc_AA801117 EST190614 Rattus norvegicus cDNA, 3  end /clone=ROVAA67 /clone_end=3  /gb=AA801117 /gi=2864072 /ug=Rn.24095 /len=363
rc_AA801126_at	98.0	A	0.500000	2.1	I	0.002375	rc_AA801126 EST190623 Rattus norvegicus cDNA, 3  end /clone=ROVAA72 /clone_end=3  /gb=AA801126 /gi=2864081 /ug=Rn.19003 /len=464
rc_AA801142_at	427.5	P	0.000562	-0.2	NC	0.789317	rc_AA801142 EST190639 Rattus norvegicus cDNA, 3  end /clone=ROVAA80 /clone_end=3  /gb=AA801142 /gi=2864097 /ug=Rn.25360 /len=410
rc_AA801173_at	104.4	A	0.267463	0.3	NC	0.500000	rc_AA801173 EST190670 Rattus norvegicus cDNA, 3  end /clone=RPLAB02 /clone_end=3  /gb=AA801173 /gi=2864128 /ug=Rn.23957 /len=627
rc_AA801176_at	535.8	P	0.000562	-0.2	NC	0.969251	rc_AA801176 EST190673 Rattus norvegicus cDNA, 3  end /clone=RPLAB04 /clone_end=3  /gb=AA801176 /gi=2864131 /ug=Rn.12982 /len=459
rc_AA801178_at	106.9	A	0.438361	-0.8	NC	0.500000	rc_AA801178 EST190675 Rattus norvegicus cDNA, 3  end /clone=RPLAB05 /clone_end=3  /gb=AA801178 /gi=2864133 /ug=Rn.6690 /len=533
rc_AA801181_at	194.7	P	0.003585	-0.1	NC	0.559457	rc_AA801181 EST190678 Rattus norvegicus cDNA, 3  end /clone=RPLAB07 /clone_end=3  /gb=AA801181 /gi=2864136 /ug=Rn.6691 /len=621
rc_AA801183_at	592.0	P	0.001141	-0.2	NC	0.946094	rc_AA801183 EST190680 Rattus norvegicus cDNA, 3  end /clone=RPLAB08 /clone_end=3  /gb=AA801183 /gi=2864138 /ug=Rn.6692 /len=525
rc_AA801187_s_at	258.2	P	0.001892	-0.5	D	0.999867	rc_AA801187 EST190684 Rattus norvegicus cDNA, 3  end /clone=RPLAB10 /clone_end=3  /gb=AA801187 /gi=2864142 /ug=Rn.6693 /len=608
rc_AA801189_at	31.6	A	0.951005	0.3	NC	0.389553	rc_AA801189 EST190686 Rattus norvegicus cDNA, 3  end /clone=RPLAB11 /clone_end=3  /gb=AA801189 /gi=2864144 /ug=Rn.12550 /len=570
rc_AA801206_at	310.0	A	0.138765	-0.3	NC	0.848129	rc_AA801206 EST190703 Rattus norvegicus cDNA, 3  end /clone=RPLAB22 /clone_end=3  /gb=AA801206 /gi=2864161 /ug=Rn.4150 /len=570
rc_AA801208_at	157.0	A	0.358690	2.0	NC	0.743593	rc_AA801208 EST190705 Rattus norvegicus cDNA, 3  end /clone=RPLAB23 /clone_end=3  /gb=AA801208 /gi=2864163 /ug=Rn.7387 /len=444
rc_AA801208_g_at	296.0	A	0.418069	-0.2	NC	0.843691	rc_AA801208 EST190705 Rattus norvegicus cDNA, 3  end /clone=RPLAB23 /clone_end=3  /gb=AA801208 /gi=2864163 /ug=Rn.7387 /len=444
rc_AA801212_at	207.7	P	0.031336	0.4	NC	0.500000	rc_AA801212 EST190709 Rattus norvegicus cDNA, 3  end /clone=RPLAB25 /clone_end=3  /gb=AA801212 /gi=2864167 /ug=Rn.90 /len=492
rc_AA801220_at	349.4	P	0.003585	-0.4	NC	0.986325	rc_AA801220 EST190717 Rattus norvegicus cDNA, 3  end /clone=RPLAB30 /clone_end=3  /gb=AA801220 /gi=2864175 /ug=Rn.3291 /len=654
rc_AA801228_at	65.5	A	0.861235	0.2	NC	0.447930	rc_AA801228 EST190725 Rattus norvegicus cDNA, 3  end /clone=RPLAB35 /clone_end=3  /gb=AA801228 /gi=2864183 /ug=Rn.19958 /len=560
rc_AA801228_g_at	288.4	P	0.017001	0.2	NC	0.485084	rc_AA801228 EST190725 Rattus norvegicus cDNA, 3  end /clone=RPLAB35 /clone_end=3  /gb=AA801228 /gi=2864183 /ug=Rn.19958 /len=560
rc_AA801230_at	297.4	P	0.031336	0.1	NC	0.500000	rc_AA801230 EST190727 Rattus norvegicus cDNA, 3  end /clone=RPLAB36 /clone_end=3  /gb=AA801230 /gi=2864185 /ug=Rn.6698 /len=600
rc_AA801230_g_at	256.9	A	0.089405	-0.8	D	0.999501	rc_AA801230 EST190727 Rattus norvegicus cDNA, 3  end /clone=RPLAB36 /clone_end=3  /gb=AA801230 /gi=2864185 /ug=Rn.6698 /len=600
rc_AA801231_at	719.1	M	0.054470	-0.5	D	0.997888	rc_AA801231 EST190728 Rattus norvegicus cDNA, 3  end /clone=RPLAB37 /clone_end=3  /gb=AA801231 /gi=2864186 /ug=Rn.8050 /len=591
rc_AA801231_g_at	269.9	A	0.098054	-0.8	MD	0.997009	rc_AA801231 EST190728 Rattus norvegicus cDNA, 3  end /clone=RPLAB37 /clone_end=3  /gb=AA801231 /gi=2864186 /ug=Rn.8050 /len=591
rc_AA801238_at	181.6	A	0.397994	-0.6	NC	0.500000	rc_AA801238 EST190735 Rattus norvegicus cDNA, 3  end /clone=RPLAB42 /clone_end=3  /gb=AA801238 /gi=2864193 /ug=Rn.6699 /len=507
rc_AA801244_at	82.1	A	0.098054	-0.5	NC	0.810259	rc_AA801244 EST190741 Rattus norvegicus cDNA, 3  end /clone=RPLAB45 /clone_end=3  /gb=AA801244 /gi=2864199 /ug=Rn.6701 /len=648
rc_AA801246_at	131.9	A	0.081337	-0.6	NC	0.772757	rc_AA801246 EST190743 Rattus norvegicus cDNA, 3  end /clone=RPLAB46 /clone_end=3  /gb=AA801246 /gi=2864201 /ug=Rn.12984 /len=626
rc_AA801256_at	281.6	P	0.003585	-0.5	NC	0.982699	rc_AA801256 EST190753 Rattus norvegicus cDNA, 3  end /clone=RPLAB52 /clone_end=3  /gb=AA801256 /gi=2864211 /ug=Rn.4151 /len=512
rc_AA801260_at	225.8	A	0.284747	-0.8	NC	0.894866	rc_AA801260 EST190757 Rattus norvegicus cDNA, 3  end /clone=RPLAB54 /clone_end=3  /gb=AA801260 /gi=2864215 /ug=Rn.4052 /len=418
rc_AA801273_at	724.0	A	0.060419	-0.5	NC	0.970527	rc_AA801273 EST190770 Rattus norvegicus cDNA, 3  end /clone=RPLAB61 /clone_end=3  /gb=AA801273 /gi=2864228 /ug=Rn.3476 /len=590
rc_AA801284_at	186.9	A	0.250724	0.2	NC	0.492541	rc_AA801284 EST190781 Rattus norvegicus cDNA, 3  end /clone=RPLAB67 /clone_end=3  /gb=AA801284 /gi=2864239 /ug=Rn.17165 /len=489
rc_AA801310_at	52.9	A	0.697453	-0.4	NC	0.500000	rc_AA801310 EST190807 Rattus norvegicus cDNA, 3  end /clone=RPLAB80 /clone_end=3  /gb=AA801310 /gi=2864265 /ug=Rn.22802 /len=572
rc_AA801310_g_at	194.8	A	0.378184	0.1	NC	0.500000	rc_AA801310 EST190807 Rattus norvegicus cDNA, 3  end /clone=RPLAB80 /clone_end=3  /gb=AA801310 /gi=2864265 /ug=Rn.22802 /len=572
rc_AA801313_at	73.3	A	0.810313	0.1	NC	0.147517	rc_AA801313 EST190810 Rattus norvegicus cDNA, 3  end /clone=RPLAB83 /clone_end=3  /gb=AA801313 /gi=2864268 /ug=Rn.17325 /len=552
rc_AA801323_at	678.7	P	0.000673	-0.2	D	0.999592	rc_AA801323 EST190820 Rattus norvegicus cDNA, 3  end /clone=RPLAB89 /clone_end=3  /gb=AA801323 /gi=2864278 /ug=Rn.22049 /len=482
rc_AA801333_f_at	14.0	A	0.996415	0.5	NC	0.500000	rc_AA801333 EST190830 Rattus norvegicus cDNA, 3  end /clone=RPLAB96 /clone_end=3  /gb=AA801333 /gi=2864288 /ug=Rn.6339 /len=168
rc_AA801352_at	267.7	A	0.267463	0.8	NC	0.500000	rc_AA801352 EST190849 Rattus norvegicus cDNA, 3  end /clone=RSPAA15 /clone_end=3  /gb=AA801352 /gi=2864307 /ug=Rn.3895 /len=465
rc_AA801395_s_at	88.5	A	0.189687	0.1	NC	0.500000	rc_AA801395 EST190892 Rattus norvegicus cDNA, 3  end /clone=RSPAA41 /clone_end=3  /gb=AA801395 /gi=2864350 /ug=Rn.22803 /len=267
rc_AA848306_at	188.7	P	0.008689	-0.4	NC	0.996252	rc_AA848306 EST191066 Rattus norvegicus cDNA, 3  end /clone=RHEAL19 /clone_end=3  /gb=AA848306 /gi=2935846 /ug=Rn.3624 /len=623
rc_AA848309_at	175.0	P	0.009985	-0.5	D	0.999261	rc_AA848309 EST191069 Rattus norvegicus cDNA, 3  end /clone=RHEAL23 /clone_end=3  /gb=AA848309 /gi=2935849 /ug=Rn.3499 /len=622
rc_AA848311_at	108.9	A	0.358690	-0.3	NC	0.865038	rc_AA848311 EST191071 Rattus norvegicus cDNA, 3  end /clone=RHEAL25 /clone_end=3  /gb=AA848311 /gi=2935851 /ug=Rn.12985 /len=646
rc_AA848315_at	441.4	P	0.031336	-0.2	NC	0.794676	rc_AA848315 EST191075 Rattus norvegicus cDNA, 3  end /clone=RHEAL30 /clone_end=3  /gb=AA848315 /gi=2935855 /ug=Rn.8093 /len=675
rc_AA848318_at	119.3	A	0.302547	0.4	NC	0.500000	rc_AA848318 EST191078 Rattus norvegicus cDNA, 3  end /clone=RHEAL37 /clone_end=3  /gb=AA848318 /gi=2935858 /ug=Rn.3194 /len=634
rc_AA848324_at	210.2	A	0.418069	-0.5	NC	0.991655	rc_AA848324 EST191084 Rattus norvegicus cDNA, 3  end /clone=RHEAL48 /clone_end=3  /gb=AA848324 /gi=2935864 /ug=Rn.785 /len=471
rc_AA848402_at	446.4	P	0.006532	0.0	NC	0.789317	rc_AA848402 EST191162 Rattus norvegicus cDNA, 3  end /clone=RKIAC08 /clone_end=3  /gb=AA848402 /gi=2935942 /ug=Rn.898 /len=586
rc_AA848404_at	775.6	P	0.027860	-0.2	D	0.998613	rc_AA848404 EST191164 Rattus norvegicus cDNA, 3  end /clone=RKIAC09 /clone_end=3  /gb=AA848404 /gi=2935944 /ug=Rn.3601 /len=476
rc_AA848407_at	797.5	P	0.001141	-0.1	NC	0.981034	rc_AA848407 EST191167 Rattus norvegicus cDNA, 3  end /clone=RKIAC11 /clone_end=3  /gb=AA848407 /gi=2935947 /ug=Rn.8739 /len=558
rc_AA848418_at	147.1	A	0.204022	-0.6	NC	0.887899	rc_AA848418 EST191178 Rattus norvegicus cDNA, 3  end /clone=RKIAC23 /clone_end=3  /gb=AA848418 /gi=2935958 /ug=Rn.19960 /len=618
rc_AA848420_at	35.9	A	0.960635	0.0	NC	0.666430	rc_AA848420 EST191180 Rattus norvegicus cDNA, 3  end /clone=RKIAC25 /clone_end=3  /gb=AA848420 /gi=2935960 /ug=Rn.6357 /len=603
rc_AA848427_at	525.9	P	0.004863	-0.6	D	0.999876	rc_AA848427 EST191187 Rattus norvegicus cDNA, 3  end /clone=RKIAC30 /clone_end=3  /gb=AA848427 /gi=2935967 /ug=Rn.2947 /len=580
rc_AA848429_at	380.5	M	0.043968	-0.6	NC	0.979234	rc_AA848429 EST191189 Rattus norvegicus cDNA, 3  end /clone=RKIAC31 /clone_end=3  /gb=AA848429 /gi=2935969 /ug=Rn.6358 /len=587
rc_AA848435_at	100.3	A	0.302547	-0.6	NC	0.718930	rc_AA848435 EST191195 Rattus norvegicus cDNA, 3  end /clone=RKIAC35 /clone_end=3  /gb=AA848435 /gi=2935975 /ug=Rn.6361 /len=559
rc_AA848437_at	25.1	A	0.861235	0.2	NC	0.500000	rc_AA848437 EST191197 Rattus norvegicus cDNA, 3  end /clone=RKIAC36 /clone_end=3  /gb=AA848437 /gi=2935977 /ug=Rn.6362 /len=561
rc_AA848449_at	844.2	P	0.000322	-0.7	D	0.999999	rc_AA848449 EST191209 Rattus norvegicus cDNA, 3  end /clone=RKIAC42 /clone_end=3  /gb=AA848449 /gi=2935989 /ug=Rn.6364 /len=481
rc_AA848451_at	52.8	A	0.500000	-0.0	NC	0.500000	rc_AA848451 EST191211 Rattus norvegicus cDNA, 3  end /clone=RKIAC43 /clone_end=3  /gb=AA848451 /gi=2935991 /ug=Rn.6365 /len=612
rc_AA848457_at	202.5	P	0.031336	-0.2	NC	0.686578	rc_AA848457 EST191217 Rattus norvegicus cDNA, 3  end /clone=RKIAC46 /clone_end=3  /gb=AA848457 /gi=2935997 /ug=Rn.3287 /len=573
