	CDN002_Vs_CDN001-U34A_Signal	CDN002_Vs_CDN001-U34A_Detection	CDN002_Vs_CDN001-U34A_Detection p-value	CDN002_Vs_CDN001-U34A_Signal Log Ratio	CDN002_Vs_CDN001-U34A_Change	CDN002_Vs_CDN001-U34A_Change p-value	Descriptions
AFFX-BioDn-3_at	7497.1	P	0.000060	0.8	I	0.000000	J04423 E coli bioD gene dethiobiotin synthetase  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-CreX-5_at	16171.5	P	0.000044	0.7	I	0.000000	X03453 Bacteriophage P1 cre recombinase protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-CreX-3_at	21187.2	P	0.000044	0.7	I	0.000000	X03453 Bacteriophage P1 cre recombinase protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-BioB-5_st	75.8	A	0.227636	-0.1	NC	0.500000	J04423 E coli bioB gene biotin synthetase  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-BioB-M_st	107.4	A	0.275146	1.1	NC	0.129434	J04423 E coli bioB gene biotin synthetase  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-BioB-3_st	24.2	A	0.834139	-0.1	NC	0.286195	J04423 E coli bioB gene biotin synthetase  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-BioC-5_st	16.2	A	0.897835	-0.0	NC	0.163243	J04423 E coli bioC protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-BioC-3_st	4.3	A	0.891021	0.0	NC	0.054853	J04423 E coli bioC protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-BioDn-5_st	123.9	A	0.147939	0.8	NC	0.166579	J04423 E coli bioD gene dethiobiotin synthetase  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-BioDn-3_st	143.2	A	0.147939	0.5	NC	0.071447	J04423 E coli bioD gene dethiobiotin synthetase  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-CreX-5_st	63.7	A	0.089478	0.1	NC	0.029031	X03453 Bacteriophage P1 cre recombinase protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-CreX-3_st	99.6	A	0.147939	0.0	NC	0.500000	X03453 Bacteriophage P1 cre recombinase protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively)
AFFX-DapX-5_at	20.2	A	0.455413	-0.1	NC	0.858881	L38424 B subtilis dapB, jojF, jojG genes corresponding to nucleotides 1358-3197 of L38424 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-DapX-M_at	34.5	A	0.340661	0.1	NC	0.500000	L38424 B subtilis dapB, jojF, jojG genes corresponding to nucleotides 1358-3197 of L38424 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-DapX-3_at	7.5	A	0.960339	-1.9	NC	0.986251	L38424 B subtilis dapB, jojF, jojG genes corresponding to nucleotides 1358-3197 of L38424 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-LysX-5_at	16.5	A	0.500000	-0.0	NC	0.500000	X17013 B subtilis lys gene for diaminopimelate decarboxylase corresponding to nucleotides 350-1345 of X17013  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-LysX-M_at	33.2	A	0.440646	1.4	NC	0.500000	X17013 B subtilis lys gene for diaminopimelate decarboxylase corresponding to nucleotides 350-1345 of X17013  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-LysX-3_at	2.3	A	0.834139	-0.2	NC	0.867709	X17013 B subtilis lys gene for diaminopimelate decarboxylase corresponding to nucleotides 350-1345 of X17013  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-PheX-5_at	2.3	A	0.941556	-0.3	NC	0.884205	M24537B subtilis pheB, pheA genes corresponding to nucleotides 2017-3334 of M24537 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-PheX-M_at	4.4	A	0.927300	-0.3	NC	0.500000	M24537B subtilis pheB, pheA genes corresponding to nucleotides 2017-3334 of M24537 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-PheX-3_at	18.8	A	0.645547	-0.2	NC	0.500000	M24537B subtilis pheB, pheA genes corresponding to nucleotides 2017-3334 of M24537 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-ThrX-5_at	8.0	A	0.852061	-0.1	NC	0.500000	X04603 B subtilis thrC, thrB genes corresponding to nucleotides 248-2229 of X04603 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-ThrX-M_at	7.1	A	0.772364	-0.5	NC	0.770129	X04603 B subtilis thrC, thrB genes corresponding to nucleotides 248-2229 of X04603 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-ThrX-3_at	7.3	A	0.941556	-0.2	NC	0.500000	X04603 B subtilis thrC, thrB genes corresponding to nucleotides 248-2229 of X04603 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-TrpnX-5_at	5.8	A	0.824672	-0.2	NC	0.500000	K01391 B subtilis TrpE protein, TrpD protein, TrpC protein corresponding to nucleotides 1883-4400 of K01391 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-TrpnX-M_at	6.8	A	0.966323	-0.1	NC	0.394032	K01391 B subtilis TrpE protein, TrpD protein, TrpC protein corresponding to nucleotides 1883-4400 of K01391 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-TrpnX-3_at	20.3	A	0.300606	2.0	NC	0.173380	K01391 B subtilis TrpE protein, TrpD protein, TrpC protein corresponding to nucleotides 1883-4400 of K01391 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX_Rat_GAPDH_5_at	9136.0	P	0.000052	0.1	NC	0.500000	Rattus norvegicus /REF=X02231 /DEF=Rat mRNA for glyceraldehyde-3-phosphate-dehydrogenase (GAPDH) (GAPDH, EC 1.2.1.12) /LEN=1002 (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX_Rat_GAPDH_M_at	9378.3	P	0.000044	0.2	I	0.001846	Rattus norvegicus /REF=X02231 /DEF=Rat mRNA for glyceraldehyde-3-phosphate-dehydrogenase (GAPDH) (GAPDH, EC 1.2.1.12) /LEN=1002 (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX_Rat_GAPDH_3_at	9545.0	P	0.000662	0.2	I	0.000060	Rattus norvegicus /REF=X02231 /DEF=Rat mRNA for glyceraldehyde-3-phosphate-dehydrogenase (GAPDH) (GAPDH, EC 1.2.1.12) /LEN=1002 (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX_Rat_Hexokinase_5_at	265.3	P	0.000095	0.4	NC	0.027296	Rattus norvegicus /REF=J04526 /DEF=brain hexokinase mRNA, complete cds /LEN=2760 (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX_Rat_Hexokinase_M_at	779.2	P	0.012547	0.1	NC	0.500000	Rattus norvegicus /REF=J04526 /DEF=brain hexokinase mRNA, complete cds /LEN=2760 (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX_Rat_Hexokinase_3_at	608.8	P	0.000052	0.3	I	0.000184	Rattus norvegicus /REF=J04526 /DEF=brain hexokinase mRNA, complete cds /LEN=2760 (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX_Rat_beta-actin_5_at	4344.0	P	0.000044	0.3	I	0.000026	Rattus norvegicus /REF=V01217 /DEF=Rat gene encoding cytoplasmic beta-actin /LEN=1128 (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX_Rat_beta-actin_M_at	8809.6	P	0.000052	0.3	I	0.000001	Rattus norvegicus /REF=V01217 /DEF=Rat gene encoding cytoplasmic beta-actin /LEN=1128 (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX_Rat_beta-actin_3_at	8954.7	P	0.000052	0.2	I	0.000010	Rattus norvegicus /REF=V01217 /DEF=Rat gene encoding cytoplasmic beta-actin /LEN=1128 (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX_rat_5S_rRNA_at	18.2	A	0.783476	-0.2	NC	0.500000	Rattus norvegicus /REF=X83747 /DEF=R.norvegicus 5S rRNA gene (clone pRA5S2) /LEN=121
AFFX_Rat_beta-actin_3_st	13.2	A	0.783476	-0.5	NC	0.585140	V01217 Rat gene encoding cytoplasmic beta-actin (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX_ratb1/X12957_at	76.5	M	0.050229	-0.2	NC	0.718360	Rattus norvegicus /REF=X12957 /DEF=Rat DNA for B1 repeat (1-42) from gamma crystallin gene cluster /LEN=150
AFFX_ratb2/X14115_at	50.7	A	0.165861	-0.7	NC	0.500000	Rattus norvegicus /REF=X14115 /DEF=Rat DNA for B2 repeat (1-12) from gamma crystallin gene cluster /LEN=187
AFFX_Rat_GAPDH_5_st	104.1	A	0.116113	-0.1	NC	0.500000	X02231 Rat mRNA for glyceraldehyde-3-phosphate-dehydrogenase (GAPDH) (GAPDH, EC 1.2.1.12) (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX_Rat_GAPDH_M_st	122.9	A	0.396920	0.3	NC	0.500000	X02231 Rat mRNA for glyceraldehyde-3-phosphate-dehydrogenase (GAPDH) (GAPDH, EC 1.2.1.12) (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX_Rat_GAPDH_3_st	41.7	M	0.054213	-0.3	NC	0.500000	X02231 Rat mRNA for glyceraldehyde-3-phosphate-dehydrogenase (GAPDH) (GAPDH, EC 1.2.1.12) (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX_Rat_beta-actin_5_st	16.0	A	0.987453	-0.1	NC	0.026462	V01217 Rat gene encoding cytoplasmic beta-actin (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX_Rat_beta-actin_M_st	34.8	A	0.544587	-0.5	NC	0.500000	V01217 Rat gene encoding cytoplasmic beta-actin (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)
AFFX-YEL002c/WBP1_at	15.6	A	0.559354	1.4	NC	0.176847	X61388 SGD: YEL002C Yeast S.cerevisiae WBP1 Oligosaccharyltransferase beta subunit
AFFX-YEL018w/_at	5.2	A	0.937071	-0.2	NC	0.388869	U18530 SGD:YEL018W Yeast S. cerevisiae Protein of unknown function
AFFX-YEL024w/RIP1_at	25.2	A	0.287743	-0.3	NC	0.846500	M23316 SGD:YEL024C Yeast S.cerevisiae RIP1 Rieske iron-sulfur protein of the mitochondrial cytochrome bc1 complex .
AFFX-YEL021w/URA3_at	21.6	A	0.147939	0.5	NC	0.500000	K02207 SGD:YEL021W Yeast S.cerevisiae URA3 gene coding for OMP decarboxylase
E03229cds_s_at	229.6	P	0.001892	0.1	NC	0.500000	E03229cds cDNA encoding rat liver L-cysteine oxygen oxidoreductase
L17127_at	1820.4	P	0.001141	0.1	NC	0.244512	L17127 RATRN3 Rattus norvegicus proteasome RN3 subunit mRNA, complete cds
L17127_g_at	1251.3	P	0.000219	-0.0	NC	0.500000	L17127 RATRN3 Rattus norvegicus proteasome RN3 subunit mRNA, complete cds
M82855cds_s_at	9.1	A	0.810313	-1.2	NC	0.529811	M82855cds RATCYPII09 Rat cytochrome P450IIC13 gene, exon 9
U93306_at	45.5	A	0.098054	-0.2	NC	0.500000	U93306 Rattus norvegicus VEGF receptor-2/FLK-1 mRNA, complete cds /cds=(248,4279) /gb=U93306 /gi=2098758 /ug=Rn.6403 /len=5875
rc_AA818499_at	35.3	A	0.378184	1.0	NC	0.500000	rc_AA818499 UI-R-A0-au-a-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-A0-au-a-12-0-UI /clone_end=3  /gb=AA818499 /gi=2889238 /ug=Rn.10103 /len=416
M27440_at	5.8	A	0.621816	-0.0	NC	0.470189	M27440 Rattus norvegicus (clone rb9E) apolipoprotein B apoB mRNA, 3  end /cds=(0,2969) /gb=M27440 /gi=623548 /ug=Rn.10103 /len=3128
rc_AI235747_at	60.8	A	0.127645	-0.1	NC	0.500000	rc_AI235747 EST232309 Rattus norvegicus cDNA, 3  end /clone=ROVCW57 /clone_end=3  /gb=AI235747 /ug=Rn.1024 /len=533
rc_AI070295_at	63.4	A	0.098054	0.2	NC	0.462755	rc_AI070295 UI-R-Y0-lt-d-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-Y0-lt-d-01-0-UI /clone_end=3  /gb=AI070295 /ug=Rn.10250 /len=545
rc_AI070295_g_at	68.5	P	0.027860	-0.4	NC	0.500000	rc_AI070295 UI-R-Y0-lt-d-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-Y0-lt-d-01-0-UI /clone_end=3  /gb=AI070295 /ug=Rn.10250 /len=545
Y00497_s_at	237.2	P	0.000388	-0.3	NC	0.529811	Y00497 Rat mRNA for manganese-containing superoxide dismutase (MnSoD) /cds=(11,679) /gb=Y00497 /gi=56690 /ug=Rn.10488 /len=1438
rc_AA945054_s_at	231.3	P	0.000219	-0.3	NC	0.794676	rc_AA945054 EST200553 Rattus norvegicus cDNA, 3  end /clone=RLIAF82 /clone_end=3  /gb=AA945054 /ug=Rn.1055 /len=565
rc_AA817685_at	68.3	A	0.339558	-0.1	NC	0.500000	rc_AA817685 UI-R-A0-aa-b-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-A0-aa-b-12-0-UI /clone_end=3  /gb=AA817685 /gi=2887565 /ug=Rn.1055 /len=399
AF007107_s_at	275.2	P	0.000322	0.2	NC	0.053906	AF007107 Rattus norvegicus soluble cytochrome b5 mRNA, complete cds /cds=(30,332) /gb=AF007107 /gi=2257954 /ug=Rn.1055 /len=520
rc_AA799525_at	547.3	P	0.001354	0.0	NC	0.500000	rc_AA799525 EST189022 Rattus norvegicus cDNA, 3  end /clone=RHEAC13 /clone_end=3  /gb=AA799525 /gi=2862480 /ug=Rn.1099 /len=573
rc_AA997886_s_at	754.5	M	0.048995	-0.3	NC	0.522368	rc_AA997886 UI-R-C0-hu-h-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-hu-h-10-0-UI /clone_end=3  /gb=AA997886 /ug=Rn.11043 /len=525
U48220_at	140.7	A	0.339558	0.4	NC	0.500000	U48220 Rattus norvegicus cytochrome P450 2D18 mRNA, complete cds /cds=(186,1688) /gb=U48220 /gi=1200517 /ug=Rn.11043 /len=2725
H32189_s_at	923.9	P	0.000219	-0.0	NC	0.500000	H32189 EST107045 Rattus norvegicus cDNA, 5  end /clone=RPCBK23 /clone_end=5  /gb=H32189 /gi=977606 /ug=Rn.11084 /len=341
M22756_at	1589.3	P	0.000219	-0.0	NC	0.500000	M22756 Rat 24-kDa subunit of mitochondrial NADH dehydrogenase mRNA, 3  end /cds=(0,725) /gb=M22756 /gi=205627 /ug=Rn.11092 /len=771
J02679_s_at	191.9	P	0.021866	-0.1	NC	0.500000	J02679 Rat NAD(P)H-menadione oxidoreductase mRNA, complete cds /cds=(74,898) /gb=J02679 /gi=205741 /ug=Rn.11234 /len=1501
rc_AI232012_at	1903.1	P	0.000219	-0.0	NC	0.500000	rc_AI232012 EST228700 Rattus norvegicus cDNA, 3  end /clone=RHECR46 /clone_end=3  /gb=AI232012 /ug=Rn.1128 /len=586
rc_AA924591_at	32.2	A	0.438361	-0.3	NC	0.944016	rc_AA924591 UI-R-A1-ea-f-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-A1-ea-f-03-0-UI /clone_end=3  /gb=AA924591 /gi=3071727 /ug=Rn.11319 /len=515
rc_AA956507_at	26.4	A	0.679170	-1.6	NC	0.946094	rc_AA956507 UI-R-E1-fk-g-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-fk-g-08-0-UI /clone_end=3  /gb=AA956507 /ug=Rn.11359 /len=441
rc_AI137856_s_at	659.8	P	0.000388	0.2	NC	0.470189	rc_AI137856 UI-R-C0-ik-a-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-ik-a-10-0-UI /clone_end=3  /gb=AI137856 /ug=Rn.11359 /len=384
rc_AI104882_s_at	386.3	A	0.204022	0.1	NC	0.500000	rc_AI104882 EST214171 Rattus norvegicus cDNA, 3  end /clone=RHECK76 /clone_end=3  /gb=AI104882 /gi=3709128 /ug=Rn.11415 /len=401
X60328_at	16.4	A	0.988553	-0.2	NC	0.693175	X60328 R.norvegicus mRNA for cytosolic epoxide hydrolase /cds=(0,317) /gb=X60328 /gi=55929 /ug=Rn.11415 /len=637
X60328_g_at	15.9	A	0.882840	-0.3	NC	0.925041	X60328 R.norvegicus mRNA for cytosolic epoxide hydrolase /cds=(0,317) /gb=X60328 /gi=55929 /ug=Rn.11415 /len=637
rc_AI170819_at	102.2	A	0.267463	0.1	NC	0.588772	rc_AI170819 EST216758 Rattus norvegicus cDNA, 3  end /clone=RMUBB86 /clone_end=3  /gb=AI170819 /gi=3710859 /ug=Rn.115 /len=652
rc_AA963839_s_at	225.9	A	0.204022	0.4	NC	0.200047	rc_AA963839 UI-R-C0-gs-f-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gs-f-12-0-UI /clone_end=3  /gb=AA963839 /ug=Rn.11644 /len=391
rc_AI229440_s_at	762.9	P	0.001892	-0.1	NC	0.500000	rc_AI229440 EST226135 Rattus norvegicus cDNA, 3  end /clone=REMCG38 /clone_end=3  /gb=AI229440 /ug=Rn.11644 /len=484
rc_AA848545_at	321.4	P	0.000673	0.1	NC	0.500000	rc_AA848545 EST191305 Rattus norvegicus cDNA, 3  end /clone=RKIAC95 /clone_end=3  /gb=AA848545 /gi=2936085 /ug=Rn.1176 /len=565
D89375_s_at	9.4	A	0.837065	-3.2	NC	0.500000	D89375 Rattus norvegicus mRNA for ST1B1, complete cds /cds=(38,937) /gb=D89375 /gi=2826147 /ug=Rn.1183 /len=1234
rc_AA945573_f_at	18.9	A	0.602006	0.7	NC	0.361190	rc_AA945573 EST201072 Rattus norvegicus cDNA, 3  end /clone=RLIAP18 /clone_end=3  /gb=AA945573 /ug=Rn.1247 /len=651
rc_AA891651_at	34.4	A	0.458816	-0.4	NC	0.500000	rc_AA891651 EST195454 Rattus norvegicus cDNA, 3  end /clone=RKIAF13 /clone_end=3  /gb=AA891651 /gi=3018530 /ug=Rn.1318 /len=499
rc_AA891651_g_at	1957.0	P	0.000388	0.2	NC	0.123160	rc_AA891651 EST195454 Rattus norvegicus cDNA, 3  end /clone=RKIAF13 /clone_end=3  /gb=AA891651 /gi=3018530 /ug=Rn.1318 /len=499
AA799336_at	330.5	P	0.000219	0.2	NC	0.048036	AA799336 EST188833 Rattus norvegicus cDNA, 5  end /clone=RHEAA38 /clone_end=5  /gb=AA799336 /gi=2862291 /ug=Rn.1318 /len=599
rc_AA899320_at	468.6	P	0.001602	0.1	NC	0.447930	rc_AA899320 UI-R-E0-cz-b-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-cz-b-11-0-UI /clone_end=3  /gb=AA899320 /gi=3034674 /ug=Rn.13584 /len=428
rc_AI010580_s_at	425.6	P	0.000266	-0.0	NC	0.500000	rc_AI010580 EST205031 Rattus norvegicus cDNA, 3  end /clone=RMUAO68 /clone_end=3  /gb=AI010580 /ug=Rn.13632 /len=377
rc_AA799474_at	2166.2	P	0.000322	0.1	NC	0.500000	rc_AA799474 EST188971 Rattus norvegicus cDNA, 3  end /clone=RHEAB45 /clone_end=3  /gb=AA799474 /gi=2862429 /ug=Rn.1413 /len=687
rc_AA818858_s_at	6040.0	P	0.000388	0.2	NC	0.016517	rc_AA818858 UI-R-A0-ar-h-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-A0-ar-h-08-0-UI /clone_end=3  /gb=AA818858 /gi=2888444 /ug=Rn.1463 /len=611
rc_AI228674_s_at	11198.5	P	0.000219	0.3	I	0.000074	rc_AI228674 EST225369 Rattus norvegicus cDNA, 3  end /clone=RBRCX94 /clone_end=3  /gb=AI228674 /ug=Rn.1463 /len=465
rc_AI103874_at	103.5	P	0.009985	0.0	NC	0.403969	rc_AI103874 EST213163 Rattus norvegicus cDNA, 3  end /clone=RHEBU32 /clone_end=3  /gb=AI103874 /gi=3708352 /ug=Rn.1464 /len=437
rc_AI172411_at	250.4	P	0.021866	-0.1	NC	0.500000	rc_AI172411 EST218418 Rattus norvegicus cDNA, 3  end /clone=RMUBZ17 /clone_end=3  /gb=AI172411 /gi=3712451 /ug=Rn.1491 /len=617
rc_AA900413_at	196.4	A	0.098054	-0.3	NC	0.958983	rc_AA900413 UI-R-E0-dl-e-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-dl-e-12-0-UI /clone_end=3  /gb=AA900413 /gi=3035767 /ug=Rn.15056 /len=449
rc_AA925252_at	73.0	P	0.019304	0.6	NC	0.354210	rc_AA925252 UI-R-A1-eh-h-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-A1-eh-h-12-0-UI /clone_end=3  /gb=AA925252 /gi=3072388 /ug=Rn.15482 /len=511
rc_AI229291_at	1132.5	P	0.001141	-0.1	NC	0.500000	rc_AI229291 EST225986 Rattus norvegicus cDNA, 3  end /clone=RBRDG56 /clone_end=3  /gb=AI229291 /ug=Rn.15482 /len=499
rc_AA925529_at	17.0	A	0.621816	-2.0	NC	0.876840	rc_AA925529 UI-R-A1-em-f-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-A1-em-f-05-0-UI /clone_end=3  /gb=AA925529 /gi=3072665 /ug=Rn.15545 /len=402
rc_AA926193_at	36.0	A	0.250724	-0.4	NC	0.673203	rc_AA926193 UI-R-A1-ev-h-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-A1-ev-h-02-0-UI /clone_end=3  /gb=AA926193 /gi=3073329 /ug=Rn.15679 /len=389
rc_AI170379_at	339.1	P	0.006532	0.1	NC	0.500000	rc_AI170379 EST216305 Rattus norvegicus cDNA, 3  end /clone=RLUCH58 /clone_end=3  /gb=AI170379 /gi=3710419 /ug=Rn.15696 /len=688
rc_AA818152_f_at	3953.5	P	0.000219	0.2	NC	0.018966	rc_AA818152 UI-R-A0-am-b-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-A0-am-b-09-0-UI /clone_end=3  /gb=AA818152 /gi=2888032 /ug=Rn.16465 /len=117
rc_AA818198_at	26.4	A	0.438361	-1.0	NC	0.990290	rc_AA818198 UI-R-A0-ai-g-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-A0-ai-g-10-0-UI /clone_end=3  /gb=AA818198 /gi=2888078 /ug=Rn.16477 /len=414
rc_AA819793_at	97.4	A	0.107301	-0.1	NC	0.500000	rc_AA819793 UI-R-A0-aq-f-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-A0-aq-f-03-0-UI /clone_end=3  /gb=AA819793 /gi=2888980 /ug=Rn.16664 /len=522
rc_AI169695_f_at	6.6	A	0.872355	-0.3	NC	0.712590	rc_AI169695 EST215591 Rattus norvegicus cDNA, 3  end /clone=RLIAS10 /clone_end=3  /gb=AI169695 /gi=3709735 /ug=Rn.1673 /len=549
rc_AA817964_s_at	50.0	A	0.781017	-0.2	NC	0.500000	rc_AA817964 UI-R-A0-ag-g-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-A0-ag-g-03-0-UI /clone_end=3  /gb=AA817964 /gi=2946793 /ug=Rn.16818 /len=368
rc_AI070108_at	153.0	P	0.004863	-0.2	NC	0.500000	rc_AI070108 UI-R-Y0-lu-a-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-Y0-lu-a-09-0-UI /clone_end=3  /gb=AI070108 /ug=Rn.16863 /len=529
rc_AA858879_at	345.6	P	0.002617	0.5	I	0.000099	rc_AA858879 UI-R-A0-bd-b-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-A0-bd-b-09-0-UI /clone_end=3  /gb=AA858879 /gi=2948230 /ug=Rn.16918 /len=520
rc_AA819500_at	53.1	P	0.024711	0.2	NC	0.470189	rc_AA819500 UI-R-A0-bl-c-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-A0-bl-c-04-0-UI /clone_end=3  /gb=AA819500 /gi=2889589 /ug=Rn.17046 /len=524
rc_AA819500_g_at	62.1	A	0.138765	0.0	NC	0.470189	rc_AA819500 UI-R-A0-bl-c-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-A0-bl-c-04-0-UI /clone_end=3  /gb=AA819500 /gi=2889589 /ug=Rn.17046 /len=524
rc_AI237756_at	42.0	A	0.267463	-0.5	NC	0.500000	rc_AI237756 EST234318 Rattus norvegicus cDNA, 3  end /clone=RPLDE56 /clone_end=3  /gb=AI237756 /ug=Rn.17046 /len=452
rc_AA799499_at	1221.5	P	0.000468	0.0	NC	0.500000	rc_AA799499 EST188996 Rattus norvegicus cDNA, 3  end /clone=RHEAB77 /clone_end=3  /gb=AA799499 /gi=2862454 /ug=Rn.17057 /len=565
